Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Nucifraga columbiana,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga columbiana,vert.endo,Bird,Nucifraga columbiana
Oreortyx pictus,,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus,vert.endo,Bird,Oreortyx pictus
Oreoscoptes montanus,,Animalia,Chordata,Aves,Passeriformes,Mimidae,Oreoscoptes,Oreoscoptes montanus,vert.endo,Bird,Oreoscoptes montanus
Passer domesticus,,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,vert.endo,Bird,Passer domesticus
Passerella iliaca,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerella,Passerella iliaca,vert.endo,Bird,Passerella iliaca
Passerina amoena,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina amoena,vert.endo,Bird,Passerina amoena
Passerina caerulea,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina caerulea,vert.endo,Bird,Passerina caerulea
Passerina cyanea,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Passerina cyanea,vert.endo,Bird,Passerina cyanea
Patagioenas fasciata,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,vert.endo,Bird,Patagioenas fasciata
Phainopepla nitens,,Animalia,Chordata,Aves,Passeriformes,Ptilogonatidae,Phainopepla,Phainopepla nitens,vert.endo,Bird,Phainopepla nitens
Pheucticus melanocephalus,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,Pheucticus melanocephalus,vert.endo,Bird,Pheucticus melanocephalus
Pipilo chlorurus,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,Pipilo chlorurus,vert.endo,Bird,Pipilo chlorurus
Pipilo maculatus,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,Pipilo maculatus,vert.endo,Bird,Pipilo maculatus
Piranga ludoviciana,,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana,vert.endo,Bird,Piranga ludoviciana
Poecile gambeli,,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile gambeli,vert.endo,Bird,Poecile gambeli
Pooecetes gramineus,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pooecetes,Pooecetes gramineus,vert.endo,Bird,Pooecetes gramineus
